STATION,DATE,Max - EXITS                                                               ,
52 ST,09/28/2019,10499600,
,09/29/2019,10500466,
,09/30/2019,10501827,
,10/01/2019,10503202,
,10/02/2019,10504837,
,10/03/2019,10506434,
,10/04/2019,10507989,8389
53 ST,09/28/2019,134416407,
,09/29/2019,134416958,
,09/30/2019,134417620,
,10/01/2019,134418399,
,10/02/2019,134418863,
,10/03/2019,134419450,
,10/04/2019,134420236,3829
55 ST,09/28/2019,4113559,
,09/29/2019,4113807,
,09/30/2019,4113994,
,10/01/2019,4114196,
,10/02/2019,4114539,
,10/03/2019,4114960,
,10/04/2019,4115316,1757
57 ST,09/28/2019,8049691,
,09/29/2019,8050421,
,09/30/2019,8051165,
,10/01/2019,8051975,
,10/02/2019,8052921,
,10/03/2019,8053776,
,10/04/2019,8054910,5219
57 ST-7 AV,09/28/2019,1293678928,
,09/29/2019,1293680007,
,09/30/2019,1293681368,
,10/01/2019,1293683017,
,10/02/2019,1293684846,
,10/03/2019,1293686700,
,10/04/2019,1293688453,9525
59 ST,09/28/2019,735305803,
,09/29/2019,735304585,
,09/30/2019,735303651,
,10/01/2019,735301997,
,10/02/2019,735299950,
,10/03/2019,735297693,
,10/04/2019,735295484,-10319
59 ST COLUMBUS,09/28/2019,1222700533,
,09/29/2019,1222700917,
,09/30/2019,1222701413,
,10/01/2019,1222702048,
,10/02/2019,1222702804,
,10/03/2019,1222703508,
,10/04/2019,1222704256,3723
6 AV,09/28/2019,1200604775,
,09/29/2019,1200604653,
,09/30/2019,1200604591,
,10/01/2019,1200604479,
,10/02/2019,1200604343,
,10/03/2019,1200604187,
,10/04/2019,1200604033,-742
61 ST WOODSIDE,09/28/2019,2123734884,
,09/29/2019,2123732924,
,09/30/2019,2123731269,
,10/01/2019,2123728503,
,10/02/2019,2123725774,
,10/03/2019,2123722849,
,10/04/2019,2123719780,-15104
63 DR-REGO PARK,09/28/2019,6384635,
,09/29/2019,6385532,
,09/30/2019,6386827,
,10/01/2019,6388246,
,10/02/2019,6389920,
,10/03/2019,6391612,
,10/04/2019,6393354,8719
65 ST,09/28/2019,9233476,
,09/29/2019,9234435,
,09/30/2019,9235517,
,10/01/2019,9236618,
,10/02/2019,9237739,
,10/03/2019,9238889,
,10/04/2019,9240115,6639
66 ST-LINCOLN,09/28/2019,14333218,
,09/29/2019,14334221,
,09/30/2019,14335635,
,10/01/2019,14337104,
,10/02/2019,14338763,
,10/03/2019,14340629,
,10/04/2019,14342492,9274
67 AV,09/28/2019,6813809,
,09/29/2019,6814117,
,09/30/2019,6814632,
,10/01/2019,6815210,
,10/02/2019,6815943,
,10/03/2019,6816700,
,10/04/2019,6817382,3573
68ST-HUNTER CO,09/28/2019,15395171,
,09/29/2019,15395697,
,09/30/2019,15396695,
,10/01/2019,15397834,
,10/02/2019,15399588,
,10/03/2019,15401532,
,10/04/2019,15403270,8099
69 ST,09/28/2019,8802614,
,09/29/2019,8803658,
,09/30/2019,8804849,
,10/01/2019,8806030,
,10/02/2019,8807384,
,10/03/2019,8808759,
,10/04/2019,8810069,7455
7 AV,09/28/2019,14354465,
,09/29/2019,14355531,
,09/30/2019,14357592,
,10/01/2019,14359861,
,10/02/2019,14362525,
,10/03/2019,14365151,
,10/04/2019,14367747,13282
71 ST,09/28/2019,7627169,
,09/29/2019,7627261,
,09/30/2019,7627774,
,10/01/2019,7628477,
,10/02/2019,7629262,
,10/03/2019,7629987,
,10/04/2019,7630640,3471
72 ST,09/28/2019,1759546127,
,09/29/2019,1759547223,
,09/30/2019,1759548792,
,10/01/2019,1759550472,
,10/02/2019,1759552399,
,10/03/2019,1759554175,
,10/04/2019,1759555947,9820
72 ST-2 AVE,09/28/2019,3006606,
,09/29/2019,3008370,
,09/30/2019,3011852,
,10/01/2019,3015618,
,10/02/2019,3019880,
,10/03/2019,3024036,
,10/04/2019,3027928,21322
74 ST-BROADWAY,09/28/2019,3997484,
,09/29/2019,3998229,
,09/30/2019,3999108,
,10/01/2019,3999935,
,10/02/2019,4000789,
,10/03/2019,4001583,
,10/04/2019,4002483,4999
75 AV,09/28/2019,942353849,
,09/29/2019,942353565,
,09/30/2019,942353351,
,10/01/2019,942352997,
,10/02/2019,942352571,
,10/03/2019,942352141,
,10/04/2019,942351698,-2151
75 ST-ELDERTS,09/28/2019,4434282,
,09/29/2019,4434607,
,09/30/2019,4435098,
,10/01/2019,4435661,
,10/02/2019,4436415,
,10/03/2019,4437126,
,10/04/2019,4437817,3535
77 ST,09/28/2019,26425725,
,09/29/2019,26427326,
,09/30/2019,26429528,
,10/01/2019,26432051,
,10/02/2019,26434749,
,10/03/2019,26437519,
,10/04/2019,26440204,14479
79 ST,09/28/2019,117711975,
,09/29/2019,117711984,
,09/30/2019,117712257,
,10/01/2019,117712615,
,10/02/2019,117712983,
,10/03/2019,117713340,
,10/04/2019,117713663,1688
8 AV,09/28/2019,12979031,
,09/29/2019,12980410,
,09/30/2019,12982131,
,10/01/2019,12983981,
,10/02/2019,12985972,
,10/03/2019,12987969,
,10/04/2019,12990114,11083
8 ST-NYU,09/28/2019,17786056,
,09/29/2019,17786540,
,09/30/2019,17787412,
,10/01/2019,17788098,
,10/02/2019,17789123,
,10/03/2019,17790073,
,10/04/2019,17790786,4730
80 ST,09/28/2019,2665327,
,09/29/2019,2665327,
,09/30/2019,2665832,
,10/01/2019,2666462,
,10/02/2019,2667194,
,10/03/2019,2667944,
,10/04/2019,2668596,3269
81 ST-MUSEUM,09/28/2019,14241236,
,09/29/2019,14242494,
,09/30/2019,14244494,
,10/01/2019,14246581,
,10/02/2019,14248883,
,10/03/2019,14251663,
,10/04/2019,14253979,12743
82 ST-JACKSON H,09/28/2019,6501314,
,09/29/2019,6503323,
,09/30/2019,6506138,
,10/01/2019,6508926,
,10/02/2019,6511862,
,10/03/2019,6514799,
,10/04/2019,6517785,16471
85 ST-FOREST PK,09/28/2019,7338488,
,09/29/2019,7338883,
,09/30/2019,7339458,
,10/01/2019,7340019,
,10/02/2019,7340658,
,10/03/2019,7341327,
,10/04/2019,7342022,3534
86 ST,09/28/2019,1875981575,
,09/29/2019,1875980917,
,09/30/2019,1875980523,
,10/01/2019,1875979718,
,10/02/2019,1875978818,
,10/03/2019,1875977718,
,10/04/2019,1875976518,-5057
86 ST-2 AVE,09/28/2019,50331652,
,09/29/2019,50331652,
,09/30/2019,50331652,
,10/01/2019,50331652,
,10/02/2019,50331652,
,10/03/2019,50331652,
,10/04/2019,50331652,0
88 ST,09/28/2019,8322851,
,09/29/2019,8322851,
,09/30/2019,8323503,
,10/01/2019,8324308,
,10/02/2019,8325213,
,10/03/2019,8326122,
,10/04/2019,8326943,4092
9 AV,09/28/2019,11046345,
,09/29/2019,11046443,
,09/30/2019,11046623,
,10/01/2019,11046861,
,10/02/2019,11047147,
,10/03/2019,11047437,
,10/04/2019,11047694,1349
90 ST-ELMHURST,09/28/2019,10388438,
,09/29/2019,10389500,
,09/30/2019,10390814,
,10/01/2019,10392155,
,10/02/2019,10393557,
,10/03/2019,10394879,
,10/04/2019,10396285,7847
96 ST,09/28/2019,20250415,
,09/29/2019,20254182,
,09/30/2019,20259205,
,10/01/2019,20264748,
,10/02/2019,20271300,
,10/03/2019,20277816,
,10/04/2019,20284205,33790
96 ST-2 AVE,09/28/2019,2305086,
,09/29/2019,2306950,
,09/30/2019,2309704,
,10/01/2019,2312523,
,10/02/2019,2315731,
,10/03/2019,2318932,
,10/04/2019,2321878,16792
9TH STREET,09/28/2019,220885,
,09/29/2019,222639,
,09/30/2019,224743,
,10/01/2019,226919,
,10/02/2019,229164,
